Periodo, Nacional , GBA , Pampeana , Noroeste , Noreste , Cuyo , Patagonia , REM Nacional 
jul-18, 0.031 , 0.028 , 0.033 , 0.034 , 0.034 , 0.036 , 0.032 ,
jun-18, 0.037 , 0.039 , 0.037 , 0.031 , 0.034 , 0.036 , 0.033 ,
may-18, 0.021 , 0.019 , 0.022 , 0.026 , 0.023 , 0.018 , 0.020 ,
abr-18, 0.027 , 0.026 , 0.029 , 0.026 , 0.028 , 0.034 , 0.027 ,
mar-18, 0.023 , 0.025 , 0.019 , 0.024 , 0.031 , 0.021 , 0.031 ,
feb-18, 0.024 , 0.026 , 0.023 , 0.021 , 0.020 , 0.026 , 0.020 ,
ene-18, 0.018 , 0.016 , 0.019 , 0.020 , 0.019 , 0.015 , 0.026 ,
dic-17, 0.031 , 0.034 , 0.031 , 0.023 , 0.022 , 0.033 , 0.025 ,
nov-17, 0.014 , 0.012 , 0.016 , 0.013 , 0.015 , 0.016 , 0.015 ,
oct-17, 0.015 , 0.013 , 0.017 , 0.019 , 0.015 , 0.017 , 0.016 ,
sep-17, 0.019 , 0.020 , 0.019 , 0.018 , 0.013 , 0.017 , 0.013 ,
ago-17, 0.014 , 0.015 , 0.013 , 0.013 , 0.012 , 0.014 , 0.017 ,
jul-17, 0.017 , 0.017 , 0.020 , 0.014 , 0.013 , 0.014 , 0.015 ,
jun-17, 0.012 , 0.014 , 0.010 , 0.009 , 0.014 , 0.010 , 0.011 ,
may-17, 0.014 , 0.013 , 0.015 , 0.015 , 0.019 , 0.017 , 0.017 ,
abr-17, 0.027 , 0.026 , 0.027 , 0.027 , 0.022 , 0.033 , 0.020 ,
mar-17, 0.024 , 0.024 , 0.022 , 0.032 , 0.024 , 0.023 , 0.021 ,
feb-17, 0.021 , 0.025 , 0.017 , 0.021 , 0.018 , 0.015 , 0.017 ,
ene-17, 0.016 , 0.013 , 0.018 , 0.016 , 0.017 , 0.017 , 0.026 ,
dic-16, 0.016 ,,,,,,,
nov-16, 0.019 ,,,,,,,
oct-16, 0.029 ,,,,,,,
sep-16, 0.008 ,,,,,,,
ago-16, 0.005 ,,,,,,,
jul-16, 0.024 ,,,,,,,
jun-16, 0.029 ,,,,,,,
may-16, 0.035 ,,,,,,,
abr-16, 0.067 ,,,,,,,
mar-16, 0.032 ,,,,,,,
feb-16, 0.048 ,,,,,,,
ene-16, 0.036 ,,,,,,,
dic-15, 0.038 ,,,,,,,
nov-15, 0.022 ,,,,,,,
oct-15, 0.015 ,,,,,,,
sep-15, 0.019 ,,,,,,,
ago-15, 0.022 ,,,,,,,
jul-15, 0.019 ,,,,,,,
jun-15, 0.015 ,,,,,,,
may-15, 0.020 ,,,,,,,
abr-15, 0.020 ,,,,,,,
mar-15, 0.021 ,,,,,,,
feb-15, 0.015 ,,,,,,,
ene-15, 0.021 ,,,,,,,
dic-14, 0.019 ,,,,,,,
nov-14, 0.019 ,,,,,,,
oct-14, 0.023 ,,,,,,,
sep-14, 0.025 ,,,,,,,
ago-14, 0.027 ,,,,,,,
jul-14, 0.025 ,,,,,,,
jun-14, 0.022 ,,,,,,,
may-14, 0.023 ,,,,,,,
abr-14, 0.026 ,,,,,,,
mar-14, 0.034 ,,,,,,,
feb-14, 0.043 ,,,,,,,
ene-14, 0.046 ,,,,,,,
dic-13, 0.033 ,,,,,,,
nov-13, 0.024 ,,,,,,,
oct-13, 0.021 ,,,,,,,
sep-13, 0.021 ,,,,,,,
ago-13, 0.021 ,,,,,,,
jul-13, 0.026 ,,,,,,,
jun-13, 0.022 ,,,,,,,
may-13, 0.016 ,,,,,,,
abr-13, 0.014 ,,,,,,,
mar-13, 0.015 ,,,,,,,
feb-13, 0.011 ,,,,,,,
ene-13, 0.026 ,,,,,,,
dic-12, 0.020 ,,,,,,,
nov-12, 0.018 ,,,,,,,
oct-12, 0.017 ,,,,,,,
sep-12, 0.019 ,,,,,,,
ago-12, 0.019 ,,,,,,,
jul-12, 0.018 ,,,,,,,
jun-12, 0.016 ,,,,,,,
may-12, 0.018 ,,,,,,,
abr-12, 0.022 ,,,,,,,
mar-12, 0.023 ,,,,,,,
feb-12, 0.018 ,,,,,,,
ene-12, 0.018 ,,,,,,,
dic-11, 0.019 ,,,,,,,
nov-11, 0.015 ,,,,,,,
oct-11, 0.015 ,,,,,,,
sep-11, 0.018 ,,,,,,,
ago-11, 0.019 ,,,,,,,
jul-11, 0.017 ,,,,,,,
jun-11, 0.016 ,,,,,,,
may-11, 0.013 ,,,,,,,
abr-11, 0.018 ,,,,,,,
mar-11, 0.021 ,,,,,,,
feb-11, 0.015 ,,,,,,,
ene-11, 0.021 ,,,,,,,
dic-10, 0.008 ,,,,,,,
nov-10, 0.007 ,,,,,,,
oct-10, 0.008 ,,,,,,,
sep-10, 0.007 ,,,,,,,
ago-10, 0.007 ,,,,,,,
jul-10, 0.008 ,,,,,,,
jun-10, 0.007 ,,,,,,,
may-10, 0.007 ,,,,,,,
abr-10, 0.008 ,,,,,,,
mar-10, 0.011 ,,,,,,,
feb-10, 0.012 ,,,,,,,
ene-10, 0.010 ,,,,,,,
dic-09, 0.009 ,,,,,,,
